State,Cases,Year
Andhra Pradesh,971,2018
Andhra Pradesh,1086,2019
Andhra Pradesh,1095,2020
Andhra Pradesh,1188,2021
Andhra Pradesh,621,2022
Arunachal Pradesh,67,2018
Arunachal Pradesh,63,2019
Arunachal Pradesh,60,2020
Arunachal Pradesh,83,2021
Arunachal Pradesh,74,2022
Assam,1648,2018
Assam,1773,2019
Assam,1657,2020
Assam,1733,2021
Assam,1113,2022
Bihar,651,2018
Bihar,730,2019
Bihar,806,2020
Bihar,786,2021
Bihar,881,2022
Chhattisgarh,2091,2018
Chhattisgarh,1036,2019
Chhattisgarh,1210,2020
Chhattisgarh,1093,2021
Chhattisgarh,1246,2022
Goa,61,2018
Goa,72,2019
Goa,60,2020
Goa,72,2021
Goa,73,2022
Gujarat,553,2018
Gujarat,528,2019
Gujarat,486,2020
Gujarat,589,2021
Gujarat,610,2022
Haryana,1296,2018
Haryana,1480,2019
Haryana,1373,2020
Haryana,1716,2021
Haryana,1787,2022
Himachal Pradesh,344,2018
Himachal Pradesh,359,2019
Himachal Pradesh,331,2020
Himachal Pradesh,358,2021
Himachal Pradesh,359,2022
Jharkhand,1090,2018
Jharkhand,1416,2019
Jharkhand,1321,2020
Jharkhand,1425,2021
Jharkhand,1298,2022
Karnataka,492,2018
Karnataka,505,2019
Karnataka,504,2020
Karnataka,555,2021
Karnataka,595,2022
Kerala,1945,2018
Kerala,2023,2019
Kerala,637,2020
Kerala,771,2021
Kerala,814,2022
Madhya Pradesh,5433,2018
Madhya Pradesh,2485,2019
Madhya Pradesh,2339,2020
Madhya Pradesh,2947,2021
Madhya Pradesh,3029,2022
Maharashtra,2142,2018
Maharashtra,2299,2019
Maharashtra,2061,2020
Maharashtra,2496,2021
Maharashtra,2904,2022
Manipur,52,2018
Manipur,36,2019
Manipur,32,2020
Manipur,26,2021
Manipur,42,2022
Meghalaya,87,2018
Meghalaya,102,2019
Meghalaya,67,2020
Meghalaya,75,2021
Meghalaya,75,2022
Mizoram,50,2018
Mizoram,42,2019
Mizoram,33,2020
Mizoram,26,2021
Mizoram,14,2022
Nagaland,10,2018
Nagaland,8,2019
Nagaland,4,2020
Nagaland,4,2021
Nagaland,7,2022
Odisha,918,2018
Odisha,1382,2019
Odisha,1211,2020
Odisha,1456,2021
Odisha,1464,2022
Punjab,831,2018
Punjab,1002,2019
Punjab,502,2020
Punjab,464,2021
Punjab,517,2022
Rajasthan,4335,2018
Rajasthan,5997,2019
Rajasthan,5310,2020
Rajasthan,6337,2021
Rajasthan,5399,2022
Sikkim,16,2018
Sikkim,11,2019
Sikkim,12,2020
Sikkim,8,2021
Sikkim,13,2022
Tamil Nadu,331,2018
Tamil Nadu,362,2019
Tamil Nadu,389,2020
Tamil Nadu,422,2021
Tamil Nadu,421,2022
Telangana,606,2018
Telangana,873,2019
Telangana,764,2020
Telangana,823,2021
Telangana,814,2022
Tripura,97,2018
Tripura,88,2019
Tripura,79,2020
Tripura,61,2021
Tripura,62,2022
Uttar Pradesh,3946,2018
Uttar Pradesh,3065,2019
Uttar Pradesh,2769,2020
Uttar Pradesh,2845,2021
Uttar Pradesh,3690,2022
Uttarakhand,561,2018
Uttarakhand,526,2019
Uttarakhand,487,2020
Uttarakhand,534,2021
Uttarakhand,867,2022
West Bengal,1069,2018
West Bengal,1069,2019
West Bengal,1128,2020
West Bengal,1123,2021
West Bengal,1111,2022
