SI. No.,City,2018,2019,2020,Actual Population (in Lakhs) (2011),Rate of Kidnapping & Abduction (2020),Chargesheeting Rate (2020)
1,Ahmedabad (Gujarat),277,248,181,63.5,2.8,22.3
2,Bengaluru (Karnataka),1090,1053,712,85,8.4,8.4
3,Chennai (Tamil Nadu),56,49,37,87,0.4,100
4,Coimbatore (Tamil Nadu),10,7,4,21.5,0.2,100
5,Delhi City,5124,5746,4011,163.1,24.6,8.8
6,Ghaziabad (Uttar Pradesh),547,408,78,23.6,3.3,47
7,Hyderabad (Telangana),411,519,451,77.5,5.8,20.5
8,Indore (Madhya Pradesh),523,585,466,21.7,21.5,17.2
9,Jaipur (Rajasthan),537,829,532,30.7,17.3,24.6
10,Kanpur (Uttar Pradesh),541,292,223,29.2,7.6,27.2
11,Kochi (Kerala),11,21,15,21.2,0.7,84
12,Kolkata (West Bengal),378,220,308,141.1,2.2,18.9
13,Kozhikode (Kerala),19,27,12,20.3,0.6,87.5
14,Lucknow (Uttar Pradesh),1112,269,735,29,25.3,28
15,Mumbai (Maharashtra),2202,2102,1173,184.1,6.4,10.2
16,Nagpur (Maharashtra),498,536,334,25,13.4,13
17,Patna (Bihar),806,795,427,20.5,20.9,80.1
18,Pune (Maharashtra),636,655,435,50.5,8.6,12.3
19,Surat (Gujarat),373,358,163,45.8,3.6,19.7
Total Cities,Total Cities,15151,14719,10297,1140.4,9,17.7
